case_id,intent,tone,fact_A,struct_A,grammar_A,tone_A,score_A,fact_B,struct_B,grammar_B,tone_B,score_B
1,Clarify interview feedback confusion,professional,0.6666666666666666,1.0,1.0,0.8,0.8266666666666668,0.6666666666666666,1.0,0.9,0.8,0.8066666666666668
2,Follow up on discussion,formal,0.5,1.0,1.0,0.8,0.7600000000000001,1.0,1.0,1.0,0.6,0.92
3,Apologize and request reschedule for missed client meeting,apologetic,0.3333333333333333,1.0,1.0,0.7,0.6733333333333335,0.3333333333333333,1.0,0.9,0.0,0.5133333333333334
4,Urgent complaint about broken service,firm,0.6666666666666666,1.0,1.0,0.7,0.8066666666666668,0.3333333333333333,1.0,0.9,0.7,0.6533333333333334
5,Project status update email,professional,0.6666666666666666,1.0,1.0,0.8,0.8266666666666668,0.5,1.0,1.0,0.8,0.7600000000000001
6,Request leave due to personal emergency,empathetic,0.3333333333333333,1.0,0.9,0.7,0.6533333333333334,0.6666666666666666,1.0,0.9,0.8,0.8066666666666668
7,General follow-up email,polite,1.0,1.0,1.0,0.8,0.9600000000000001,1.0,1.0,1.0,0.7,0.9400000000000001
8,Escalate unresolved issue to manager,formal,0.3333333333333333,1.0,0.9,0.8,0.6733333333333335,1.0,1.0,1.0,0.8,0.9600000000000001
9,Thank and politely reject offer,polite but firm,0.6666666666666666,1.0,1.0,0.8,0.8266666666666668,1.0,1.0,1.0,0.8,0.9600000000000001
10,Schedule urgent meeting with team,professional urgent,0.3333333333333333,1.0,0.9,0.8,0.6733333333333335,1.0,1.0,1.0,0.8,0.9600000000000001
